Source: http://www.hockey-reference.com/teams/TOR/2017.html

//////////////////////////////////////////// Toronto Maple Leafs Player Statistics: 2016-2017 Season ////////////////////////////////////////////

Name: Frederik Gauthier	Number: 33
	Scoring			Goals	Assists								
Rk	Date	G	Age	Tm		Opp		G	A	PTS	+/-	PIM	EV	PP	SH	GW	EV	PP	SH	S	S%	SHFT	TOI	HIT	BLK	FOW	FOL	FO%
1	2016-12-19	1	21-237	TOR		ANA	L	0	0	0	0	0	0	0	0	0	0	0	0	1	0.0	18	10:43	0	1	7	10	41.2
2	2016-12-22	2	21-240	TOR	@	COL	W	1	0	1	1	0	1	0	0	0	0	0	0	1	100.0	19	11:39	2	4	7	5	58.3
3	2016-12-23	3	21-241	TOR	@	ARI	W	0	1	1	2	0	0	0	0	0	1	0	0	2	0.0	24	12:03	3	1	8	7	53.3
4	2016-12-28	4	21-246	TOR	@	FLA	W	0	0	0	-1	4	0	0	0	0	0	0	0	0		13	5:42	0	0	1	3	25.0
5	2016-12-29	5	21-247	TOR	@	TBL	W	0	0	0	0	0	0	0	0	0	0	0	0	0		18	9:16	0	2	5	7	41.7
6	2017-01-01	6	21-250	TOR		DET	W	0	0	0	0	0	0	0	0	0	0	0	0	0		17	9:23	2	0	10	8	55.6
7	2017-01-03	7	21-252	TOR	@	WSH	L-OT	1	0	1	1	0	1	0	0	0	0	0	0	1	100.0	15	8:18	0	0	4	6	40.0
8	2017-01-06	8	21-255	TOR	@	NJD	W	0	0	0	0	0	0	0	0	0	0	0	0	0		15	9:28	0	0	7	6	53.8
9	2017-01-07	9	21-256	TOR		MTL	L	0	0	0	0	15	0	0	0	0	0	0	0	0		11	3:31	0	0	3	2	60.0
10	2017-01-13	10	21-262	TOR	@	NYR	W	0	0	0	-1	0	0	0	0	0	0	0	0	2	0.0	16	8:30	0	0	5	4	55.6
11	2017-01-14	11	21-263	TOR	@	OTT	W	0	0	0	0	2	0	0	0	0	0	0	0	0		16	9:43	0	1	6	2	75.0
12	2017-01-17	12	21-266	TOR		BUF	W	0	0	0	1	0	0	0	0	0	0	0	0	1	0.0	14	9:18	2	0	3	3	50.0
13	2017-01-19	13	21-268	TOR		NYR	L	0	0	0	0	0	0	0	0	0	0	0	0	1	0.0	18	11:51	0	0	9	5	64.3
14	2017-01-21	14	21-270	TOR		OTT	L-SO	0	0	0	0	0	0	0	0	0	0	0	0	0		20	9:42	1	0	11	8	57.9
15	2017-01-23	15	21-272	TOR		CGY	W	0	0	0	0	0	0	0	0	0	0	0	0	0		21	10:45	1	1	9	10	47.4
16	2017-01-25	16	21-274	TOR	@	DET	W	0	0	0	1	0	0	0	0	0	0	0	0	0		15	10:44	1	1	2	3	40.0
